Schema Analysis Results
==================================================
Analysis Date: 2025-08-03 02:49:01
Cutoff Date: 2025-06-04 02:47:56

Schemas to migrate to /dev/sda1 (>60 days):
  mingyi_FLINT_TT16_3_bacdaaa9_D165R12P2b_20250409173548 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R12P4_20250409174048 - 848.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R12P2a_20250409180010 - 6.75 MB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R12P2b_20250409205349 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R12P4_20250409211147 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R12P2a_20250409212654 - 6.23 MB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R12P2b_20250409220430 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R12P4_20250409220838 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R14P2a_20250409222732 - 10.09 MB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R14P2b_20250409233433 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R14P4_20250409233906 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R14P2a_20250410085750 - 7.39 MB - 114 days old
  maguser_FLINT_B_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_B_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_B_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_B_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_B_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_B_5_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_C_5_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_D_5_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_E_5_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_F_5_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_0_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_1_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_2_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_3_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_4_na_na_20250410093621 - 118.22 MB - 114 days old
  maguser_FLINT_G_5_na_na_20250410093621 - 118.22 MB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R14P2b_20250410095045 - 832.00 KB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D185R14P4_20250410095340 - 832.00 KB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R14P2a_20250410100645 - 592.00 KB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R14P2a_20250410115100 - 7.27 MB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R14P2b_20250410130624 - 832.00 KB - 114 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R14P4_20250410131225 - 832.00 KB - 114 days old
  alisa_FLINT_TT15_0_409305aa_TST_20250410133659 - 16.00 KB - 114 days old
  mingyi_Flint_tt16_3_NA_StdBLRDOE_20250410140107 - 27.28 MB - 114 days old
  alisa_FLINT_TT15_0_a65fd1e5_TST_20250410140729 - 16.00 KB - 114 days old
  alisa_FLINT_TT15_0_76f5e2b1_TST_20250410145742 - 16.00 KB - 114 days old
  alisa_FLINT_TT15_0_d6bf0081_AcrossMTST_20250410152104 - 2.33 MB - 114 days old
  alisa_FLINT_TT15_1_d6bf0081_AcrossMTST_20250410152223 - 3.23 MB - 114 days old
